"","HC","coef","criterion","test","p01","p05","p10"
"1","HC0","x0","power","saddle_V1",0.027,0.09,0.154
"2","HC0","x0","power","saddle_V2",0.02,0.072,0.132
"3","HC0","x0","size","saddle_V1",0.02,0.074,0.131
"4","HC0","x0","size","saddle_V2",0.012,0.057,0.113
"5","HC0","x1","power","saddle_V1",0.022,0.101,0.171
"6","HC0","x1","power","saddle_V2",0.017,0.073,0.144
"7","HC0","x1","size","saddle_V1",0.024,0.074,0.14
"8","HC0","x1","size","saddle_V2",0.019,0.054,0.117
"9","HC0","x2","power","saddle_V1",0.175,0.39,0.502
"10","HC0","x2","power","saddle_V2",0.139,0.337,0.461
"11","HC0","x2","size","saddle_V1",0.024,0.082,0.144
"12","HC0","x2","size","saddle_V2",0.017,0.066,0.121
"13","HC0","x3","power","saddle_V1",0.238,0.432,0.573
"14","HC0","x3","power","saddle_V2",0.2,0.375,0.514
"15","HC0","x3","size","saddle_V1",0.036,0.124,0.188
"16","HC0","x3","size","saddle_V2",0.033,0.109,0.165
"17","HC0","x4","power","saddle_V1",NA,NA,NA
"18","HC0","x4","power","saddle_V2",NA,NA,NA
"19","HC0","x4","size","saddle_V1",NA,NA,NA
"20","HC0","x4","size","saddle_V2",NA,NA,NA
