 method , E_0 , E_1 , E_2 , E_3 , E_4 , E_4m , E_5 , N_0 , N_1 , N_2 , N_3 , N_4 , N_4m , N_5 , S_0 , S_1 , S_2 , S_3 , S_4 , S_4m , S_5 , S_E_0 , S_E_1 , S_E_2 , S_E_3 , S_E_4 , S_E_4m , S_E_5 , S_M_0 , S_M_1 , S_M_2 , S_M_3 , S_M_4 , S_M_4m , S_M_5 
 E_0 , -   , -   , -   , -   , -   , -   , -   ,100,20, -   , -   , -   , -   ,1.43,100,20, -   , -   , -   , -   , -   ,0.95, -   , -   , -   , -   , -   , -   ,100, -   , -   , -   , -   , -   , -   
 E_1 ,100, -   ,71.9,71.9,71.9,71.9,53.33,100,95.71,83.81,71.9,71.9,71.9,89.52,100,93.81,51.43,71.9,71.9,71.9,60,75.71,73.33,71.9,71.9,71.9,71.9,71.9,100,42.38,71.9,71.9,71.9,71.9,61.43
 E_2 ,100,28.1, -   ,90.48,90.48,90.48,19.05,100,95.71,83.81,90.48,85.24,90.48,91.9,100,93.81,53.81,90.48,90.48,90.48,58.57,75.24,89.52,90.48,90.48,90.48,90.48,90.48,100,40.95,85.71,90.48,90.48,90.48,31.43
 E_3 ,100,28.1,9.52, -   ,8.1,100,18.1,100,95.71,83.81,3.81,2.38, -   ,91.9,100,93.81,53.81,61.43,40,100,57.14,75.24,11.43,2.86,100,100,100, -   ,100,40.95,9.52,99.52,45.71,100,5.71
 E_4 ,100,28.1,9.52,91.43, -   ,100,18.1,100,95.71,83.81,4.76,2.38,41.43,91.9,100,93.81,53.81,100,91.9,100,57.14,75.24,11.43,9.52,100,100,100, -   ,100,40.95,9.52,100,100,100,5.71
 E_4m ,100,28.1,9.52, -   , -   , -   ,18.1,100,95.71,83.81,3.81,2.38, -   ,91.9,100,93.81,53.81,19.52,19.05,100,57.14,75.24,11.43,2.86,100,98.57,100, -   ,100,40.95,9.52,18.57,19.52,100,5.71
 E_5 ,100,46.67,80.48,81.9,81.9,81.9, -   ,100,95.71,83.81,81.9,81.9,81.9,91.9,100,93.81,53.81,81.9,81.9,81.9,59.52,75.71,80,81.9,81.9,81.9,81.9,81.9,100,54.29,84.29,81.9,81.9,81.9,81.9
 N_0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1.43, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 N_1 ,80,4.29,4.29,4.29,4.29,4.29,4.29,100, -   ,4.29,4.29,4.29,4.29,29.05,100,13.33,4.29,4.29,4.29,4.29,5.24,4.29,4.29,4.29,4.29,4.29,4.29,4.29,98.57,4.29,4.29,4.29,4.29,4.29,4.29
 N_2 ,100,16.19,16.19,16.19,16.19,16.19,16.19,100,95.71, -   ,16.19,16.19,16.19,73.33,100,93.33,16.19,16.19,16.19,16.19,29.05,42.86,16.19,16.19,16.19,16.19,16.19,16.19,100,19.52,16.19,16.19,16.19,16.19,16.19
 N_3 ,100,28.1,9.52,96.19,94.76,96.19,18.1,100,95.71,83.81, -   ,11.43,96.19,91.9,100,93.81,53.81,96.19,94.76,96.19,55.71,75.24,16.19,68.57,96.19,96.19,96.19,37.62,100,40.95,9.52,96.19,96.19,96.19,14.76
 N_4 ,100,28.1,14.29,97.62,97.62,97.62,18.1,100,95.71,83.81,87.62, -   ,97.62,91.9,100,93.81,53.81,97.62,97.62,97.62,57.14,75.24,60.48,89.05,97.62,97.62,97.62,97.14,100,40.95,19.52,97.62,97.62,97.62,14.76
 N_4m ,100,28.1,9.52,100,56.19,100,18.1,100,95.71,83.81,3.81,2.38, -   ,91.9,100,93.81,53.81,100,79.05,100,57.14,75.24,11.43,7.62,100,100,100,8.1,100,40.95,9.52,100,96.19,100,5.71
 N_5 ,98.57,10.48,8.1,8.1,8.1,8.1,8.1,100,70.95,26.67,8.1,8.1,8.1, -   ,100,61.43,8.1,8.1,8.1,8.1,8.1,26.67,8.1,8.1,8.1,8.1,8.1,8.1,100,16.67,8.1,8.1,8.1,8.1,8.1
 S_0 , -   , -   , -   , -   , -   , -   , -   ,97.62, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 S_1 ,80,6.19,6.19,6.19,6.19,6.19,6.19,100,85.24,6.67,6.19,6.19,6.19,37.62,100, -   ,6.19,6.19,6.19,6.19,6.67,6.19,6.19,6.19,6.19,6.19,6.19,6.19,100,6.19,6.19,6.19,6.19,6.19,6.19
 S_2 ,100,47.62,46.19,46.19,46.19,46.19,46.19,100,95.71,83.81,46.19,46.19,46.19,91.9,100,93.81, -   ,46.19,46.19,46.19,60.95,76.19,47.62,46.19,46.19,46.19,46.19,46.19,100,52.86,46.19,46.19,46.19,46.19,46.19
 S_3 ,100,28.1,9.52,37.14, -   ,80.48,18.1,100,95.71,83.81,3.81,2.38, -   ,91.9,100,93.81,53.81, -   ,10.48,100,57.14,75.24,11.43,2.86,88.57,98.1,100, -   ,100,40.95,9.52,70.48,15.71,100,5.71
 S_4 ,100,28.1,9.52,59.52,7.62,80.95,18.1,100,95.71,83.81,5.24,2.38,20.95,91.9,100,93.81,53.81,87.62, -   ,100,57.14,75.24,11.43,8.1,90.48,99.05,100,0.48,100,40.95,9.52,80,77.14,100,5.71
 S_4m ,100,28.1,9.52, -   , -   , -   ,18.1,100,95.71,83.81,3.81,2.38, -   ,91.9,100,93.81,53.81, -   , -   , -   ,57.14,75.24,11.43,2.86,44.76,8.1,80.95, -   ,100,40.95,9.52, -   , -   ,21.43,5.71
 S_5 ,100,40,40.48,42.86,42.86,42.86,40.48,100,94.76,70.48,43.81,42.86,42.86,91.9,100,93.33,38.57,42.86,42.86,42.86, -   ,59.05,38.57,43.81,42.86,42.86,42.86,42.86,100,42.86,43.81,42.86,42.86,42.86,42.86
 S_E_0 ,99.05,24.29,24.76,24.76,24.76,24.76,24.29,100,95.71,57.14,24.76,24.76,24.76,73.33,100,93.81,23.33,24.76,24.76,24.76,40.48, -   ,24.76,24.76,24.76,24.76,24.76,24.76,100,24.29,24.76,24.76,24.76,24.76,24.76
 S_E_1 ,100,26.67,10.48,88.57,88.57,88.57,20,100,95.71,83.81,83.81,38.57,88.57,91.9,100,93.81,52.38,88.57,88.57,88.57,61.43,75.24, -   ,88.57,88.57,88.57,88.57,77.62,100,40.95,10.95,88.57,88.57,88.57,14.29
 S_E_2 ,100,28.1,9.52,97.14,90.48,97.14,18.1,100,95.71,83.81,29.05,10.48,92.38,91.9,100,93.81,53.81,97.14,91.9,97.14,56.19,75.24,11.43, -   ,97.14,97.14,97.14,30,100,40.95,9.52,97.14,96.67,97.14,14.29
 S_E_3 ,100,28.1,9.52, -   , -   , -   ,18.1,100,95.71,83.81,3.81,2.38, -   ,91.9,100,93.81,53.81,10.95,9.52,54.29,57.14,75.24,11.43,2.86, -   ,30,100, -   ,100,40.95,9.52,0.48,9.05,32.38,5.71
 S_E_4 ,100,28.1,9.52, -   , -   ,0.95,18.1,100,95.71,83.81,3.81,2.38, -   ,91.9,100,93.81,53.81,1.9,0.95,88.1,57.14,75.24,11.43,2.86,67.62, -   ,100, -   ,100,40.95,9.52, -   , -   ,67.14,5.71
 S_E_4m ,100,28.1,9.52, -   , -   , -   ,18.1,100,95.71,83.81,3.81,2.38, -   ,91.9,100,93.81,53.81, -   , -   ,18.57,57.14,75.24,11.43,2.86, -   , -   , -   , -   ,100,40.95,9.52, -   , -   ,0.48,5.71
 S_E_5 ,100,28.1,9.52,100,100,100,18.1,100,95.71,83.81,61.43,2.38,91.43,91.9,100,93.81,53.81,100,99.52,100,57.14,75.24,21.9,70,100,100,100, -   ,100,40.95,9.52,100,100,100,5.71
 S_M_0 , -   , -   , -   , -   , -   , -   , -   ,100,1.43, -   , -   , -   , -   , -   ,100, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 S_M_1 ,100,57.14,59.05,59.05,59.05,59.05,44.76,100,95.71,80.48,59.05,59.05,59.05,83.33,100,93.81,47.14,59.05,59.05,59.05,56.67,75.71,59.05,59.05,59.05,59.05,59.05,59.05,100, -   ,59.05,59.05,59.05,59.05,52.86
 S_M_2 ,100,28.1,12.38,90.48,90.48,90.48,15.24,100,95.71,83.81,90.48,80.48,90.48,91.9,100,93.81,53.81,90.48,90.48,90.48,56.19,75.24,89.05,90.48,90.48,90.48,90.48,90.48,100,40.95, -   ,90.48,90.48,90.48,25.24
 S_M_3 ,100,28.1,9.52, -   , -   ,79.52,18.1,100,95.71,83.81,3.81,2.38, -   ,91.9,100,93.81,53.81,27.62,19.05,100,57.14,75.24,11.43,2.86,99.52,100,100, -   ,100,40.95,9.52, -   ,23.81,100,5.71
 S_M_4 ,100,28.1,9.52,52.86, -   ,80,18.1,100,95.71,83.81,3.81,2.38,3.81,91.9,100,93.81,53.81,81.9,19.52,100,57.14,75.24,11.43,3.33,90,100,100, -   ,100,40.95,9.52,76.19, -   ,100,5.71
 S_M_4m ,100,28.1,9.52, -   , -   , -   ,18.1,100,95.71,83.81,3.81,2.38, -   ,91.9,100,93.81,53.81, -   , -   ,77.62,57.14,75.24,11.43,2.86,65.24,30.48,99.52, -   ,100,40.95,9.52, -   , -   , -   ,5.71
 S_M_5 ,100,38.1,68.57,94.29,94.29,94.29,18.1,100,95.71,83.81,84.29,85.24,94.29,91.9,100,93.81,53.81,94.29,94.29,94.29,57.14,75.24,85.71,85.24,94.29,94.29,94.29,94.29,100,46.67,74.29,94.29,94.29,94.29, -   
